Invoice Date,AC,AD,AJ,AO,BG,BM,BO,BQ,CD,CQ,PJ,VC
2018-06-29,177.0,9.0,2.0,134.0,,7.0,9.0,111.0,147.0,6.0,13.0,
2018-07-01,15.0,,,10.0,,,,,105.0,5.0,,
2018-07-02,371.0,16.0,7.0,366.0,,37.0,13.0,159.0,390.0,48.0,,
2018-07-03,884.0,22.0,5.0,852.0,,7.0,16.0,142.0,233.0,22.0,,
2018-07-04,803.0,15.0,10.0,822.0,,7.0,22.0,143.0,286.0,22.0,3.0,
2018-07-05,176.0,19.0,2.0,153.0,,15.0,12.0,110.0,228.0,11.0,4.0,
2018-07-06,425.0,25.0,9.0,321.0,,10.0,19.0,111.0,510.0,41.0,6.0,
2018-07-09,334.0,14.0,10.0,247.0,,5.0,14.0,173.0,956.0,40.0,,
2018-07-10,268.0,20.0,10.0,196.0,,8.0,13.0,134.0,270.0,33.0,4.0,
2018-07-11,360.0,18.0,4.0,278.0,,5.0,17.0,197.0,227.0,29.0,7.0,
2018-07-12,184.0,16.0,22.0,120.0,,9.0,24.0,118.0,532.0,54.0,3.0,
2018-07-13,326.0,25.0,10.0,262.0,,5.0,28.0,124.0,699.0,44.0,3.0,
2018-07-16,383.0,25.0,10.0,318.0,,8.0,11.0,112.0,342.0,34.0,2.0,
2018-07-17,306.0,35.0,17.0,221.0,,11.0,35.0,169.0,584.0,53.0,8.0,
2018-07-18,636.0,18.0,10.0,453.0,,11.0,31.0,178.0,410.0,44.0,2.0,
2018-07-19,268.0,16.0,7.0,217.0,,7.0,16.0,118.0,316.0,33.0,2.0,
2018-07-20,708.0,20.0,8.0,549.0,,4.0,20.0,185.0,425.0,50.0,2.0,
2018-07-23,583.0,25.0,7.0,366.0,,7.0,34.0,204.0,623.0,30.0,3.0,
2018-07-24,416.0,13.0,7.0,408.0,,12.0,25.0,135.0,420.0,48.0,5.0,
2018-07-25,559.0,26.0,14.0,420.0,,5.0,25.0,146.0,872.0,55.0,2.0,
2018-07-26,243.0,22.0,6.0,190.0,,2.0,19.0,113.0,197.0,15.0,2.0,
2018-07-27,207.0,17.0,2.0,177.0,,4.0,4.0,38.0,80.0,9.0,1.0,
2018-07-30,139.0,10.0,9.0,122.0,,6.0,22.0,139.0,88.0,16.0,4.0,
